原土地使用权人,现土地使用权人,宗地标识,宗地编号,宗地座落,所在行政区,土地面积(公顷),土地用途,土地使用权类型,土地使用年限,土地利用状况,土地级别,转让方式,转让价格(万元),成交时间
吕马良,阳泉市商业银行股份有限公司,,14032110100129,冠山镇东关村,,0.0500,其他商服用地,出让,33,现状,一级,买卖,71.1950,2017/1/19 14:55:35
中国移动通信集团山东有限公司栖霞分公司,中国铁塔股份有限公司烟台市分公司,,栖国土资转字【2017】184号,桃村镇铁口大白马夼村,,0.0303,公共设施用地,出让,35,现状,四级,其他,0.0000,2017/8/7 9:55:52
李志兵,湖南冷水江农村商业银行股份有限公司,,13-06-123-1,同兴乡新桥居委会,,0.0011,其他商服用地,出让,21,已完成,三级,买卖,2.1297,2017/11/20 8:16:11
泰安市泰山国金工贸有限公司,泰安岱岳农村商业银行股份有限公司,,2017-D-116,岱岳区天平办事处西北村,,1.1297,工业用地,出让,50,已建成,四级,其他,338.9100,2017/6/21 10:33:46
双江镇城南居委会第一居民小区,湖南省怀化市建设工程监理有限公司通道分公司,,2017-664,双江镇万佛路,,0.0013,商服用地,国有出让,40,已利用,三级,买卖,32.2500,2017/11/24 18:54:58
叶纯钊\王全广,广东荣业食品有限公司,,D01ZEC20160325,观仙北路9号,,0.2386,工业用地,出让,31,已开发,四级,买卖,213.1282,2017/1/13 9:34:41
中山市石岐区南下股份合作经济联合社,中山市恒裕房产置业有限公司,,D23BbA20170546,南下三级石28号,,0.0277,住宅用地,出让,69,已开发,一级,买卖,409.4900,2017/4/7 10:52:17
栖霞市广播电视局,山东广电网络有限公司栖霞分公司,,栖国土资转字【2017】54号,官道卫生院东,,0.0160,商服用地,出让,21,现状,三级,其他,0.0000,2017/3/22 15:16:21
阿布都热依木.吐尔逊,巴楚县安扎尔塑业科技发展有限公司,,6531302017Z016,巴楚县巴图公路以南,,0.2000,工业用地,国有转让,50,,三级,联营,34600.0000,2017/5/5 11:39:29
桦南县鑫隆房产开发有限责任公司,桦南县鸿腾房地产开发有限公司,,230822106243GB06490,新建街道,,0.4343,其他普通商品住房用地,出让,64,现状,二级,其他,0.0000,2017/7/21 10:41:53
烟台宝龙置业发展有限公司,山东隆和节能科技股份有限公司,,01040035,蓬莱市海滨东路南、新兴路北,,0.0358,批发零售用地,挂牌出让,35,已开发,一级,买卖,64.5200,2017/2/6 16:17:24
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14242101265,安流镇完塘村三丘田岗顶,,0.0100,工业用地,出让,39,已开发,十二级,买卖,1.2000,2017/5/25 16:18:47
湖南天城置业发展有限公司,湖南日兴房地产开发有限公司,,YWSP20161215004,天心区,,0.1663,其他普通商品住房用地,国有,58,未建,四级,买卖,449.1000,2017/1/6 15:29:26
山东北铭网络科技有限公司,泰安市岱岳区诚信信合加油站有限公司,,2017-D-148,岱岳区满庄镇满北村,,0.2524,商服用地,出让,40,已建成,六级,买卖,136.2960,2017/8/1 11:22:20
云南日报报业集团房地产开发有限公司,昆明蓝光云报置业有限公司公司,,530181005008GB00017,安宁市太平新城街道办事处始甸社区居委会妥乐居民小组,,4.4669,其他普通商品住房用地,出让,66,地上已有建筑物,三级,买卖,6713.1657,2017/10/27 14:01:24
廖伟芳,中山三合房地产开发有限公司,,D29JJA20170002,长命水村,,0.1333,住宅用地,出让,51,待开发,三级,作价出资入股,139.9965,2017/1/17 9:02:19
中山市石岐区南下股份合作经济联合社,中山市恒裕房产置业有限公司,,D23BBA20170544,南下麻洲街14号之二,,0.0632,住宅用地,出让,69,已开发,一级,买卖,121.1900,2017/4/25 11:11:56
新疆通信服务公司,中国铁塔股份有限公司喀什分公司,,6531302017Z034,巴楚县阿娜库勒乡2村,,0.0270,其他商服用地,国有出让,32,,四级,其他,2.3490,2017/3/27 12:20:19
山东中特防科技发展有限公司,北京广汇德盛科技有限公司,,0005483,西环路南首路西,,2.2590,工业用地,土地出让,36,已开发,十一级,买卖,889.6096,2017/7/4 10:59:04
黄辉雄、尹源生,佛山市雄达实业投资有限公司,,440607005001GB00001,佛山市三水区大塘镇六一村委会羊盈庙（土名）,,8.5400,工业用地,出让,50,已开发,七级,作价出资入股,2989.0000,2017/11/10 12:04:25
李志兵,湖南冷水江农村商业银行股份有限公司,,13-06-123-1,同兴乡新桥居委会,,0.0009,其他商服用地,出让,21,已完成,三级,买卖,1.7945,2017/11/20 8:14:55
五华县万利达实业有限公司,五华县万利达实业有限公司,,14240102947,水寨镇水寨大道镇政府侧华源花园A栋,,0.0085,中低价位、中小套型普通商品住房用地,出让,31,已开发,十二级,买卖,31.8227,2017/10/19 11:12:20
蔡泳涛,中山市盈润置业有限公司,,D11ZMA20161088,工业大道63号,,2.6501,商服用地,出让,48,已开发,二级,买卖,5800.0000,2017/3/9 8:57:27
广东移动通信有限责任公司四会分公司,中国铁塔股份有限公司肇庆市分公司,,050505002,四会市龙甫镇龙头村委会马步�~村背后岗,,0.0048,公共设施用地,出让,35,已开发,十级,买卖,2.4000,2017/1/22 16:18:42
栖霞市华思工贸有限公司,烟台华迅工艺品有限公司,,栖国土资转字【2017】291号,迎宾路西（6号房）,,0.0271,批发零售用地,出让,26,现状,三级,其他,42.5732,2017/12/13 14:09:40
栖霞市广播电视局,山东广电网络有限公司栖霞分公司,,栖国土资转字【2017】53号,寺口镇政府北、西侧商业房南数第10户,,0.0285,商服用地,出让,24,现状,三级,其他,0.0000,2017/3/22 15:22:53
均安镇豸浦股份合作经济社,中海地产集团有限公司,,072045-001,佛山市顺德区均安镇鹤峰社区居民委员会新城北区百安路1号,,6.3103,其他普通商品住房用地,公开交易转让,70,,四级,买卖,139983.0000,2017/8/8 16:35:37
廖伟芳,中山三合房地产开发有限公司,,D29JJA20170028,长命水村,,0.1333,住宅用地,出让,51,待开发,三级,作价出资入股,139.9965,2017/1/17 9:55:51
泰安市平玲针织制衣有限公司,泰安市岱岳区锐风昌盛服饰有限公司,,2017-D-039,岱岳区山口镇山口东村,,1.2882,工业用地,出让,50,已建成,六级,买卖,347.8140,2017/3/2 9:43:37
汕头市宜东房地产开发有限公司,汕头市互汇智能科技有限公司,,培隆福建围外A12,澄海区莲下镇培隆福建围外,,1.3333,其他土地,国有出让,41,场地平整,八级,作价出资入股,305.3300,2017/2/4 11:22:33
广州从化珠光房地产有限公司,广州从化公有资产投资经营有限公司,,080301_20170223004681,广州市从化区街口街新城东路,,0.1604,其他土地,出让,40,待开发,九级,继承,1171.0676,2017/2/23 10:23:08
佛山市三水致明实业有限公司（属于法院执行裁定）,广东宏大金谷创新科技有限公司,,440607005004GB03102,佛山市三水大塘镇工业区员工村（4号地）,,1.6590,住宅用地,出让,70,未开发、无建筑物,七级,继承,1116.8300,2017/3/20 9:57:17
汕头市宜东房地产开发有限公司,汕头市互汇智能科技有限公司,,C10,澄海区莲下镇培隆福建围外,,6.6667,其他土地,国有出让,41,场地平整,八级,作价出资入股,1526.6700,2017/2/4 10:46:27
佛山市三水致明实业有限公司（属于法院执行裁定）,广东宏大金谷创新科技有限公司,,440607005004GB03100,佛山市三水大塘镇工业区员工村（5号地）,,4.4273,住宅用地,出让,70,未开发、无建筑物,七级,继承,2980.3900,2017/3/20 10:03:19
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14240502614,华城镇董源村,,0.0100,工业用地,出让,37,已开发,十二级,买卖,1.2000,2017/5/25 10:07:12
山东鲁得贝车灯股份有限公司,山东畅通管业有限公司,,370181006231GB00001,圣井街道办事处陈家村南,,1.4012,工业用地,出让,37,已开发,十一级,买卖,374.1200,2017/1/4 16:25:57
内蒙古嘉和葆房地产开发有限公司,乌兰浩特市德润房地产开发有限公司,b0c0593f-705d-40f2-837c-211d596154b7,新2009-04#-02,科尔沁路东侧,,4.9781,其他商服用地,国有,33,已支付全部土地使用权出让金，完成投资总额25%以上，开工面积达到1/3以上。,三级,买卖,2955.3739,2017/3/20 17:02:26
王顺章,栖霞市伟恒商贸有限公司,,栖国土资转字【2017】76号,苏家店镇姜家村,,0.1142,仓储用地,出让,43,现状,四级,买卖,46.6000,2017/4/19 8:47:19
广东移动通信有限责任公司四会分公司,中国铁塔股份有限公司肇庆市分公司,,160301001,四会市江谷镇镇郊村委会蛤姆头岗顶,,0.0048,公共设施用地,出让,35,已开发,十级,买卖,2.4000,2017/1/22 17:06:30
周国雄朱群花,梅州天龙盛实业有限公司,,14240100297-3,水寨镇华兴北路063-1号,,0.0078,批发零售用地,出让,39,已开发,十二级,买卖,92.8309,2017/11/7 15:21:57
蔡泳涛,中山市盈润置业有限公司,,D11ZMA20161089,民主村,,0.1937,商服用地,出让,24,已开发,二级,买卖,400.0000,2017/3/9 9:42:30
杨海燕,湖南冷水江农村商业银行股份有限公司,,13-29-101-1,锑都社区,,0.0012,其他商服用地,出让,28,已完成,一级,买卖,6.7854,2017/9/27 8:21:37
烟台天时相伴木业有限公司,烟台翔凡达新能源科技有限公司,,栖国土资转字【2017】264号,桃村镇东部工业园,,1.8513,工业用地,出让,39,现状,三级,其他,898.9033,2017/11/21 15:54:17
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14240201354,河东镇平东村黄基洋山顶,,0.0100,工业用地,出让,43,已开发,十二级,买卖,1.2000,2017/5/25 9:26:58
文昆辉,湖南冷水江农村商业银行股份有限公司,,13-49-13,俩塘社区居委会金鼎花园,,0.0106,其他商服用地,出让,29,已完成,四级,买卖,16.5537,2017/6/1 8:29:59
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14240503243,华城镇塔岗村高坑朱坑岗顶,,0.0100,工业用地,出让,39,已开发,十二级,买卖,1.2000,2017/5/25 10:46:48
汕头市宜东房地产开发有限公司,汕头市互汇智能科技有限公司,,C11,澄海区莲下镇培隆福建围外,,4.2000,其他土地,国有出让,41,场地平整,八级,作价出资入股,961.8000,2017/2/4 11:11:44
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14241100296,长布镇梅塘村坑山坑,,0.0100,工业用地,出让,43,已开发,十二级,买卖,1.2000,2017/5/25 9:20:17
中山市乐瑞婴童用品有限公司,中山市远�N房地产开发有限公司,,D09XHA20160783,葵兴大道28号之一,,3.6458,商服用地,出让,45,已开发,三级,买卖,8029.7684,2017/1/23 10:06:41
内蒙古嘉和葆房地产开发有限公司,乌兰浩特市德润房地产开发有限公司,b0c0593f-705d-40f2-837c-211d596154b7,新2009-04#-02,科尔沁路东侧,,4.9781,其他商服用地,国有,33,已支付全部土地使用权出让金，完成投资总额25%以上，开工面积达到1/3以上。,三级,买卖,2955.3739,2017/3/20 17:02:26
王顺章,栖霞市伟恒商贸有限公司,,栖国土资转字【2017】76号,苏家店镇姜家村,,0.1142,仓储用地,出让,43,现状,四级,买卖,46.6000,2017/4/19 8:47:19
广东移动通信有限责任公司四会分公司,中国铁塔股份有限公司肇庆市分公司,,160301001,四会市江谷镇镇郊村委会蛤姆头岗顶,,0.0048,公共设施用地,出让,35,已开发,十级,买卖,2.4000,2017/1/22 17:06:30
周国雄朱群花,梅州天龙盛实业有限公司,,14240100297-3,水寨镇华兴北路063-1号,,0.0078,批发零售用地,出让,39,已开发,十二级,买卖,92.8309,2017/11/7 15:21:57
蔡泳涛,中山市盈润置业有限公司,,D11ZMA20161089,民主村,,0.1937,商服用地,出让,24,已开发,二级,买卖,400.0000,2017/3/9 9:42:30
杨海燕,湖南冷水江农村商业银行股份有限公司,,13-29-101-1,锑都社区,,0.0012,其他商服用地,出让,28,已完成,一级,买卖,6.7854,2017/9/27 8:21:37
烟台天时相伴木业有限公司,烟台翔凡达新能源科技有限公司,,栖国土资转字【2017】264号,桃村镇东部工业园,,1.8513,工业用地,出让,39,现状,三级,其他,898.9033,2017/11/21 15:54:17
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14240201354,河东镇平东村黄基洋山顶,,0.0100,工业用地,出让,43,已开发,十二级,买卖,1.2000,2017/5/25 9:26:58
文昆辉,湖南冷水江农村商业银行股份有限公司,,13-49-13,俩塘社区居委会金鼎花园,,0.0106,其他商服用地,出让,29,已完成,四级,买卖,16.5537,2017/6/1 8:29:59
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14240503243,华城镇塔岗村高坑朱坑岗顶,,0.0100,工业用地,出让,39,已开发,十二级,买卖,1.2000,2017/5/25 10:46:48
汕头市宜东房地产开发有限公司,汕头市互汇智能科技有限公司,,C11,澄海区莲下镇培隆福建围外,,4.2000,其他土地,国有出让,41,场地平整,八级,作价出资入股,961.8000,2017/2/4 11:11:44
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14241100296,长布镇梅塘村坑山坑,,0.0100,工业用地,出让,43,已开发,十二级,买卖,1.2000,2017/5/25 9:20:17
中山市乐瑞婴童用品有限公司,中山市远�N房地产开发有限公司,,D09XHA20160783,葵兴大道28号之一,,3.6458,商服用地,出让,45,已开发,三级,买卖,8029.7684,2017/1/23 10:06:41
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14241700380,龙村镇杜坑村太丰坑,,0.0100,工业用地,出让,39,已开发,十二级,买卖,1.2000,2017/5/25 16:51:51
湖北丰誉焦煤能源有限公司,湖北金鸿达交通设施有限公司,,(2017)007,鄂州经济开发区旭光村,,1.1489,工业用地,出让国有土地使用权,50,工业用地,九级,买卖,317.3300,2017/9/12 17:07:37
王玉平,临汾市尧都区金博诚电子科技有限公司,,2017年4号,尧庙段西,,0.1070,商服用地,出让,40,,二级,买卖,149.1600,2017/3/29 9:12:42
谢钦文,湖南博长物业管理有限公司,,13-11-34-114,轧钢路,,0.0005,其他商服用地,出让,25,已完成,二级,买卖,2.7822,2017/3/9 16:03:10
栖霞市白洋河工业园建设服务有限公司,烟台鹏鹗精密纺器有限公司,,栖国土资转字【2017】113号,臧家庄镇水道观村西,,13.5809,工业用地,出让,49,现状,四级,买卖,2505.6760,2017/5/31 9:02:03
袁国良,广东星火科技园有限公司,,江地鉴字[2018]第2号,蓬江区杜阮镇上岗中心路9号,,2.1790,工业用地,出让,40,已建,二级,买卖,926.0852,2017/12/6 11:49:48
广东移动通信有限责任公司四会分公司,中国铁塔股份有限公司肇庆市分公司,,090501001,四会市迳口镇迎头村委松山下山顶,,0.0048,公共设施用地,出让,35,已开发,十级,买卖,2.4000,2017/1/22 16:42:48
湖南高星物流园开发有限公司,湖南中南鑫邦置业有限公司,ce09a2c2-e212-46fc-ac44-1b83bb3a0b10,网工挂[2016]06号,经开区,,1.3989,仓储用地,国有出让,49,在建,十二级,买卖,739.8020,2017/8/29 16:58:58
义县头台工业园区管理有限公司,锦州博达精细化工有限公司,,2017-c01,义县头台乡三台子村,,2.9853,工业用地,出让,41,三通一平,十三等级,买卖,106.0000,2017/1/12 9:37:27
刘保平，代领民，崔海成，郑颜，王景山，贺金重，芮臣生，郭连保，程巨德，宋瑛，张瑞平，张凤娥，靳晓东，岳云峰，张守义，张建路，魏向英，冯树运，荣光辉，程树明，刘建华，王玉荣，黄振海，魏红军，刘庆珍,邯郸市邺昊房地产开发有限公司,,2017040,邺都大街东30米外,,9.5270,住宅用地,出让,62,已建,二级,买卖,379.8100,2017/11/27 14:35:17
中国移动通信集团山东有限公司栖霞分公司,中国铁塔股份有限公司烟台市分公司,,栖国土资转字【2017】219号,栖霞市唐家泊镇东家泊子村,,0.0225,公共设施用地,出让,35,现状,一级,其他,0.0000,2017/9/7 11:00:00
汉中市鹏程置业发展有限公司,汉中市创力房地产开发有限公司,,2017(29)号,南郑县汉山街道办南湖路,,0.7947,其他普通商品住房用地,出让,67,,十四等级,买卖,962.1900,2017/11/30 16:37:13
湖北高龙文化有限责任公司,鄂州建威建材有限公司,,(2017)011,庙岭镇铜岭村,,4.0055,工业用地,出让国有土地使用权,50,工业用地,十级,买卖,928.0700,2017/10/17 17:23:54
中国联合通信有限公司宜春分公司,中国铁塔股份有限公司宜春市分公司,,360810170004,铜鼓县花山林场,,0.0054,公共设施用地,出让,50,建设用地（现状）,十五等级,买卖,1.9659,2017/1/4 17:00:42
双江镇城南居委会第一居民小区,湖南省怀化市建设工程监理有限公司通道分公司,,2017-660,双江镇万佛路,,0.0023,住宅用地,国有出让,70,已利用,三级,买卖,20.1140,2017/10/24 18:32:05
龙锦洪\龙玉婵,中山市盛源房地产开发有限公司,,D06AAF20163361,阜东村东阜公路侧,,5.2955,商服用地,出让,51,已开发,二级,作价出资入股,5055.9570,2017/2/20 10:24:05
中山市南顺房地产开发有限公司,中山市东康投资管理有限公司,,D01PPA20170081,朝南路4号,,0.2362,商服用地,出让,35,已开发,五级,买卖,843.1285,2017/3/2 9:39:53
武汉市蔡甸城建投资开发有限公司,中法文产置业（武汉）有限公司,,2017-17,蔡甸区蔡甸街彭家山村,,3.8020,住宅用地,出让,62,出让,八级,买卖,4915.9860,2017/9/18 9:39:30
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14241800317,梅林镇招田村下寨岗顶,,0.0100,工业用地,出让,43,已开发,十二级,买卖,1.2000,2017/5/25 10:00:36
龙锦洪\龙玉婵,中山市恒源房地产开发有限公司,,D30VVA20160505,深湾村永厚队,,6.5146,商服用地,出让,54,已开发,三级,作价出资入股,6147.6360,2017/3/3 10:01:26
湖南湘科房地产开发有限公司,长沙市振望建设开发有限公司,fc1b4cc2-9d64-4ff1-a81a-de3c6eac234d,网挂[2012]45号,经开区马桥河路与规划路交叉口东南角,,4.5102,住宅用地,国有出让,67,在建,十二级,买卖,7008.7300,2017/1/23 15:01:06
湖南蒸阳陶瓷总厂,衡阳会鑫源置业有限公司,,2017525,西渡镇新正东路83号,,0.9423,住宅用地,,68,,十二级,买卖,734.9940,2017/10/16 13:56:47
栖霞市华思工贸有限公司,烟台华迅工艺品有限公司,,栖国土资转字【2017】287号,迎宾路西（12号房）,,0.0135,批发零售用地,出让,26,现状,三级,其他,21.2866,2017/12/13 14:26:15
文昆辉,湖南冷水江农村商业银行股份有限公司,,13-49-13,俩塘社区居委会金鼎花园,,0.0010,其他商服用地,出让,29,已完成,四级,买卖,18.4412,2017/6/1 8:27:38
中山市乐瑞婴童用品有限公司,中山市鑫联农业科技有限公司,,D09XHA20170028,葵兴大道221号,,0.1252,住宅用地,出让,49,已开发,四级,买卖,550.0000,2017/4/10 15:48:17
七台河矿业精煤（集团）七煤医院有限公司,七台河七煤医院有限公司,,201702,茄子河区,,0.6961,医卫慈善用地,出让,50,,三级,买卖,0.0000,2017/1/20 9:34:07
武汉市富泰天乐农贸有限公司,武汉润华新科技建筑材料有限公司,,2017-18,蔡甸区玉贤镇车岭村,,1.5187,工业用地,出让,37,出让,三级,买卖,517.2600,2017/11/20 9:20:04
湖南金旅环保股份有限公司,长沙市振望建设开发有限公司,a22adf10-2ec6-45b8-8ea6-89f23141d6b3,网工挂[2016]22号,经开区,,2.5861,工业用地,国有出让,49,在建,一级,买卖,1398.0000,2017/9/8 11:51:02
易男,中山市合众达商贸有限公司,,D01ZXA20170036,广兴路26号,,1.9906,工业用地,出让,42,已开发,三级,买卖,2500.0000,2017/4/18 10:33:56
中国移动通信集团湖北有限公司武汉分公司,中国铁塔股份有限公司武汉市分公司,,2017-4,蔡甸区侏儒街代湾村,,0.0100,公共设施用地,出让,35,出让,未评估地区,买卖,3.4700,2017/6/22 10:19:48
中国移动通信集团湖北有限公司武汉分公司,中国铁塔股份有限公司武汉市分公司,,2017-8,蔡甸区永安街永丰村,,0.0098,公共设施用地,出让,35,出让,未评估地区,买卖,3.3900,2017/6/22 10:41:17
五华县万利达实业有限公司,五华县万利达实业有限公司,,441424101209GB08175,水寨镇华兴中路74号华维花园A3栋第一至三层,,0.0085,中低价位、中小套型普通商品住房用地,出让,43,已开发,十二级,买卖,91.2300,2017/7/17 10:09:45
山东山矿泵业有限公司,泰安锐泰克机器制造有限公司,,2017-D-242,岱岳区满庄镇,,0.5803,工业用地,出让,50,已建成,四级,买卖,174.0996,2017/12/6 11:21:43
汕头市宜东房地产开发有限公司,汕头市互汇智能科技有限公司,,D16,澄海区莲下镇利合新围,,1.3334,其他土地,国有出让,41,场地平整,八级,作价出资入股,305.3400,2017/2/4 11:09:41
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14240400296,转水镇黄梅村枫树坑顶,,0.0100,工业用地,出让,43,已开发,十二级,买卖,1.2000,2017/5/25 10:07:24
赤峰联鑫房地产开发有限公司,赤峰泓玺房地产开发有限公司,,433-01-520,元宝山镇刘家店村,,2.9137,其他普通商品住房用地,出让,67,住宅用地,二级,买卖,874.1118,2017/4/13 8:40:11
高占祥,中国工商银行股份有限公司乌审支行,,2010.401-5-0393,乌审旗嘎鲁图镇人民路南 地税局南侧（五区）,,0.0457,商服用地,出让,40,已开发,二级,其他,0.0000,2017/12/22 16:03:12
王洪英,泰安金冠宏食品有限公司,,2017-D-031,三里路西段老王府西路南,,0.3298,工业用地,出让,50,已建成,二级,其他,222.6218,2017/2/16 9:39:42
黄辉雄、尹源生,佛山市雄达实业投资有限公司,,440607005001GB00004,佛山市三水区大塘镇六一村委会上海口（土名）,,0.1234,工业用地,出让,50,未开发,七级,作价出资入股,57.4000,2017/11/10 12:08:07
中山市莲峰房地产公司,中国建设银行股份有限公司中山市分行,,D24XXA20152138,富华道云汉路段7号,,0.0313,商服用地,出让,19,已开发,二级,买卖,469.7003,2017/2/27 9:55:45
中国联合通信有限公司宜春分公司,中国铁塔股份有限公司宜春市分公司,,360810170003,铜鼓县永宁镇江头村老铺组,,0.0133,公共设施用地,出让,50,建设用地（现状）,十五等级,买卖,1.9659,2017/1/4 16:55:50
桦南县广泰投资有限公司,佳木斯万基房地产开发有限公司,,3-7-102,新建街道西段,,0.1692,其他普通商品住房用地,国有,63,现状,一级,其他,0.0000,2017/10/11 14:19:38
王亚招,五华县峰源实业有限公司,,441424120220GB00133,华城镇五华经济开发区205国道南,,0.0985,批发零售用地,出让,40,已开发,十二级,买卖,436.0351,2017/8/21 15:14:18
中国移动通信集团山东有限公司栖霞分公司,中国铁塔股份有限公司烟台市分公司,,栖国土资转字【2017】119号,翠屏街道小雾滋夼村,,0.0223,公共设施用地,出让,35,现状,三级,其他,0.0000,2017/8/7 9:49:13
广州从化珠光房地产有限公司,广州从化公有资产投资经营有限公司,,080301_20170223004675,广州市从化区街口街新城东路78号,,0.2071,商服用地,出让,40,待开发,九级,继承,1512.0205,2017/2/23 10:17:53
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14241700379,龙村镇大梧村石角顶,,0.0100,工业用地,出让,39,已开发,十二级,买卖,1.2000,2017/5/25 15:32:16
王亚清,广东联友办公家具有限公司,,D08ZKB20161586,浪网行政村人民路101号之一,,1.3333,工业用地,出让,36,已开发,四级,买卖,1100.0000,2017/4/25 11:18:41
武汉市蔡甸区城建投资开发有限公司,武汉蔡甸祥云通用航空有限公司,,2017-14,蔡甸区蔡甸街彭家山村,,2.1984,其他商服用地,出让,40,出让,一级,买卖,2301.7200,2017/5/17 10:43:24
凤凰县虹桥旅游有限责任公司,凤凰天韵旅游文化传播有限公司,,转2017-06,凤凰县沱江镇杜田,,0.6933,其他商服用地,出让,37,,十四等级,买卖,758.0000,2017/1/18 11:33:25
马明生,湖南新化农村商业银行股份有限公司,,13-23-32-A2-09,锑都中路,,0.0005,其他普通商品住房用地,出让,30,已完成,一级,买卖,2.8897,2017/9/22 17:03:33
河北德行饲料有限公司,平原禾丰牧业有限公司,,2017002,县城内玄武大道南侧、朱明大街西侧,,1.6838,工矿仓储用地,出让,46,已建,三级,买卖,313.4600,2017/1/10 9:55:45
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14240900353,潭下镇乐道村桃李窝山顶,,0.0100,工业用地,出让,43,已开发,十二级,买卖,1.2000,2017/5/25 10:47:56
白怀玉,内蒙古鄂托克农村商业银行股份有限公司,,蒙(2017)乌审旗不动产权第0001747号,乌审旗嘎鲁图镇林荫路北林荫路小区15号楼1单元201室（五区）,,0.0025,住宅用地,出让,70,已开发,一级,买卖,54.4500,2017/12/6 11:40:22
中国移动通信集团黑龙江有限公司,中国铁塔股份有限公司七台河市分公司,,201711,三监区基站,,0.0144,公共设施用地,出让,37,,四级,买卖,0.0000,2017/6/16 9:44:31
刘根强,河北天昊睿工智能科技有限公司,,2017-52,霸州市信安镇利民街,,1.0052,工业用地,国有,30,,二级,买卖,573.7700,2017/11/9 10:44:47
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14240502899,华城镇南方村吊望岭顶,,0.0100,工业用地,出让,39,已开发,十二级,买卖,1.2000,2017/5/25 9:49:38
李景泰,腾冲越州文化发展有限公司,,C-(02)-3,腾越镇天成社区文风小区,,0.0076,其他普通商品住房用地,出让,70,已开发,一级,买卖,24.8395,2017/5/24 10:12:10
汕头市华达欣纺织有限公司,汕头市澄海区柏辉染印有限公司,,仙门村252,汕头市澄海区溪南镇水南路南侧,,1.0865,工业用地,国有出让,27,场地平整,八级,买卖,774.7000,2017/7/24 9:58:24
广州莱泰制药有限公司,广州北领投资有限公司,,8030120171113030000,广州市从化区太平镇水南村地段,,2.2667,工业用地,出让,50,部分开发,九级,作价出资入股,1233.0848,2017/11/20 8:42:57
中山市盈丰进出口有限公司,中山市中顺通商务服务有限公司,,D08ZKD20171171,接源村,,0.4654,工业用地,出让,39,已开发,五级,买卖,272.4718,2017/6/13 11:15:15
中山弘裕电子有限公司,中山市绅能金属制品有限公司,,D02NNE20160322,飞跃路43号,,2.3333,工业用地,出让,31,已开发,二级,买卖,1720.6500,2017/1/11 9:43:20
汉中市城市建设投资开发有限公司,汉中市新兴房地产开发有限公司,,2017(18)号,南郑县梁山镇强国村,,2.6567,其他普通商品住房用地,出让,67,,十四等级,买卖,3692.8000,2017/9/3 9:31:10
昭通市城市建设投资开发有限公司,昭通市城市建设投资开发有限公司,,532101000-0F-40-3,昭阳区望海楼文化公园（望海公园商铺）,,0.1629,商服用地,出让,40,商业,二级,买卖,279.9718,2017/12/19 10:49:26
中国移动通信集团湖北有限公司武汉分公司,中国铁塔股份有限公司武汉市分公司,,2017-13,蔡甸区�L山街三店村,,0.0290,公共设施用地,出让,35,出让,未评估地区,买卖,10.1500,2017/6/22 10:53:38
双江镇城南居委会第一居民小区,湖南省怀化市建设工程监理有限公司通道分公司,,2017-663,双江镇万佛路,,0.0010,商服用地,国有出让,40,已利用,三级,买卖,32.2500,2017/11/24 18:55:14
中山豪展铝异型材制品有限公司,中山坦南智造创意园开发有限公司,,D33MMA20170098,火炬路53号之二,,2.3187,工业用地,出让,36,已开发,三级,买卖,1638.1055,2017/2/28 10:14:31
佛山市森丹纺织有限公司（属于法院执行裁定）,佛山置高投资管理有限公司,,440607006001GB03168,佛山市三水区南山镇漫江大道11号,,3.8661,工业用地,出让,50,已开发、已建筑物,七级,继承,839.5952,2017/2/16 9:58:19
宋秀峰,栖霞果满仓果蔬冷藏有限公司,,栖国土资转字【2017】235号,栖霞市唐家泊镇大中疃村,,0.2411,仓储用地,出让,43,现状,四级,买卖,76.1905,2017/9/28 8:27:52
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14240900351,潭下镇中村悟村石场坳顶,,0.0100,工业用地,出让,43,已开发,十二级,买卖,1.2000,2017/5/25 10:13:15
广东移动通信有限责任公司四会分公司,中国铁塔股份有限公司肇庆市分公司,,030701001,四会市东城街道清东村委会“和仓岗”,,0.0080,公共设施用地,出让,35,已开发,十级,买卖,4.0000,2017/1/22 17:13:50
中国移动通信集团广东有限公司,中国铁塔股份有限公司梅州分公司,,GY14242500541,横陂镇增大村塘尾学子嶂,,0.0100,工业用地,出让,39,已开发,十二级,买卖,1.2000,2017/5/25 11:15:14
